No.,name,Series,Model_Name,Model_Number,Color,Price(THB),Type,Suitable_For,Power_Supply,Processor_Brand,Processor_Name,Vaiant,Clock_Speed,Cache(MB),SSD_Capacity(GB),HDD_Capacity(GB),RAM(GB),RAM_Type,Expandable_Memory,Memory_Slots,RAM_Frequency(MHz),Graphic_Processor_Brand,Graphic_Processor,GPU_Score,Operating_System,Mic_In,USB_Port,HDMI_Port,Touchscreen,ScreenSize(inch),ScreenReolution,Screen_Type,Speakers,Internal_Mic,Wireless_LAN,Bluetooth,Weight(KG),Finger_Print_Sensor,Keyboard,Backlit_Keyboard,Ethernet,Web_Camera,Pointer_Device,Battery_Backup,RJ45,Refresh_Rate
10,DELL,Inspiron,Inspiron 3525,Inspiron 3525,Carbon Black,12330.92,Notebook,Everyday Use,N/A,AMD,Athlon,3050U,3.2,4,256,0,8,DDR4,16,2,2666,AMD,Radeon Graphics,3,Windows 11 Home,Yes,"2x USB 3.2 Gen 1, 1x USB 2.0",1x HDMI 1.4 port,No,15.6,1920x1080,HD AG Narrow Border,Yes,Yes,802.11ac,5,1.68,No,English International Non Backlit Keyboard,Yes,Yes,HD,Touchpad,Upto 7 hours,Yes,N/A
11,DELL,N/A,XPS 9305,XPS 9305,Platinum Silver,59543.75,Thin and Light Laptop,Processing & Multitasking,N/A,Intel,Core i5,1135G7,2.4 GHz upto max turbo frequency at 4.2 Ghz,8,512,0,16,LPDDR4X,32,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"2 x Thunderbolt 4,1 x USB 3.2 Type C",N/A,No,13.4,1920x1080,Full HD WVA Infinity Edge,Yes,Yes,Killer Wi-Fi 6 AX1650,5.1,1.16,Yes,Backlit Keyboard,Yes,No,HD,Touchpad,Upto 13 Hours,N/A,N/A
12,Lenovo,Yoga 7i,Yoga Slim 7,14ITL5,Slate Grey,39479.24,2 in 1 Laptop,Processing & Multitasking,65 W AC Adapter,AMD,Ryzen 7,5800U,1.9 GHz,16,512,0,16,DDR4,N/A,N/A,3200,AMD,Radeon Graphics,3,Windows 10 Home,N/A,"2 x USB-C 3.2 Gen 2 (full function), 1 x USB-A 3.2 Gen 1",N/A,Yes,14,1920x1080,"35.5cms (14) FHD IPS (1920 x 1080) 300 nits, wide-viewing angle touchscreen, 72% NTSC, 16:9 aspect ratio, anti-glare",2 x 2W front-facing Dolby Atmos® Speaker System,Built-In Dual Array Microphone,N/A,5,1.43,Yes,English Backlit Keyboard,Yes,No,720p HD with PrivacyShutter,Multi-touch Touchpad,Upto 10 hours,N/A,N/A
13,ASUS,N/A,TUF Gaming A15,FA506IC-HN075W,Black,33017.74,Gaming Laptop,Gaming,N/A,AMD,Ryzen 7,N/A,N/A,N/A,512,512,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3050,5.4,Windows 11 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,No,No,Touchpad,4 hours,N/A,N/A
14,ASUS,N/A,Vivobook 15,M515DA-BR322WS,Silver,14702.01,Laptop,"Entertainment, Everyday Use, Processing & Multitasking, Travel & Business",N/A,AMD,Ryzen 3,N/A,N/A,N/A,256,0,8,DDR4,N/A,N/A,N/A,AMD,Radeon Graphics,3,Windows 11 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,No,No,Touchpad,4 hours,N/A,N/A
15,ASUS,ROG Flow X13 (2021),ROG Flow X13,GV301QH-K6461TS,Black,51723.02,2 in 1 Gaming Laptop,"Gaming, Processing & Multitasking",100W AC Adapter,AMD,Ryzen 9,5900HS,3.1 GHz with Turbo Boost up to 4.5 GHz,16,1000,0,32,LPDDR4X,16,N/A,4266,NVIDIA,GTX 1650,4.5,Windows 10 Home,Yes,"1 x USB 3.2 Gen 2 Type-A, 2 x USB 3.2 Gen 1 Type-C (Support DisplayPort/Power Delivery)",1 x HDMI Port (v2.0b),Yes,13.4,1920x1200,"WUXGA LED Backlit Glossy IPS-Level Touch Display with Adaptive Sync (16:10 Aspect Ratio, 120 Hz Refresh Rate, 300 nits Brightness, 1000:1 Contrast Ratio, 72% NTSC Color Gamut, 100% sRGB, 75% Adobe, 75% DCI-P3, Pantone Validated)",Built-In Dual Speakers,Built-In Array Microphone (AI Noise Cancelling),Wi-Fi 6 (802.11ax),5.1,1.3,No,Backlit Chiclet Keyboard,Yes,No,720p HD Webcam,Touchpad,4-5 Hrs,No,120 Hz
16,MSI,GP66 Leopard,GP66 Leopard 11UG,GP66 Leopard 11UG,Black,62975.63,Gaming Laptop,"Processing & Multitasking, Gaming",280 W AC Adapter,Intel,Core i7,11800H,4.60 GHz with Max Turbo Frequency,N/A,1000,0,16,DDR4,64,2,3200,NVIDIA,RTX 3070,8,Windows 10 Home,Yes,"3 x Type-A USB 3.2 gen1, 1 x RJ45, 1 x Mini-Display Port",1 x HDMI 2.1,No,15.6,1920x1080,Full HD IPS Display (100% sRGB),2 x 2 W Speakers,Yes,Killer Wi-Fi 6E AX1675,5.2,2.9,No,Per key RGB steel series Keyboard,Yes,Yes,HD type (30fps at 720p) Webcam,Touchpad,3 Hours,Yes,240 Hz
17,ASUS,Vivobook 15 OLED,Vivobook Ultra K15,K513EA-L301WS,Hearty Gold,19095.22,Laptop,"Entertainment, Everyday Use, Performance, Processing & Multitasking",65W AC Adapter,Intel,Core i3,1115G4,"Intel® Core™ i3-1115G4 Processor 3.0 GHz (6M Cache, up to 4.1 GHz, 2 cores)",6,256,0,8,DDR4,N/A,N/A,3200,Intel,UHD,2,Windows 11 Home,Yes,1x USB 3.2 Gen 1 Type-A | 1x USB 3.2 Gen 1 Type-C | 2x USB 2.0 Type-A,1x HDMI 1.4,No,15.6,1920x1080,"15.6-inch, FHD (1920 x 1080) OLED 16:9 aspect ratio, LED Backlit, 0.2ms response time, 600nits peak brightness, 100% DCI-P3 color gamut, 1,000,000:1, VESA CERTIFIED Display HDR True Black 600, 1.07 billion colors, PANTONE Validated, Glossy display, 70% less harmful blue light, SGS Eye Care Display, Screen-to-body ratio: 85 ?",Built-in speaker,Built-in microphone,N/A,Yes,1.8,Yes,Backlit Chiclet Keyboard with Num-key,Yes,No,720p HD camera,Touchpad,3 Hours,N/A,N/A
18,realme,Book Prime,Book Prime,CloudPro002,Grey,25859.52,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",65W Type-C Adaptor,Intel,Core i5,11320H,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,8,512,0,16,LPDDR4X,N/A,N/A,4266,Intel,Iris Xe,3,Windows 11 Home,N/A,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x TypeA USB Gen 3.1 Gen 1",N/A,No,14,2160x1440,"Quad HD, 60 Hz Refresh Rate",N/A,N/A,N/A,Yes,1.37,Yes,Backlit Keyboard,Yes,No,No,Smooth surface muilt-touch Trackpad with Gesture support,Upto 12 hours,N/A,N/A
19,realme,Book Prime,Book Prime,CloudPro002,Green,25859.52,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",65W Type-C Adaptor,Intel,Core i5,11320H,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,8,512,0,16,LPDDR4X,N/A,N/A,4266,Intel,Iris Xe,3,Windows 11 Home,N/A,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x Type A USB Gen 3.1 Gen 1",N/A,No,14,2160x1440,"Quad HD, 60 Hz Refresh Rate",N/A,N/A,N/A,Yes,1.37,Yes,Backlit Keyboard,Yes,No,No,Smooth surface muilt-touch Trackpad with Gesture support,Upto 12 hours,N/A,N/A
20,realme,Book Prime,Book Prime,CloudPro002,Blue,25859.52,Thin and Light Laptop,"Entertainment, Performance, Processing & Multitasking",65W Type-C Adaptor,Intel,Core i5,11320H,Base 3.2 GHz Turbo Boost Upto 4.5 GHz,8,512,0,16,LPDDR4X,N/A,N/A,4266,Intel,Iris Xe,3,Windows 11 Home,N/A,"1 x USB Gen 3.2 Thunderbolt 4, 1 x Type C USB 3.2 Gen 2 , 1 x Type A USB Gen 3.1 Gen 1",N/A,No,14,2160x1440,"Quad HD, 60 Hz Refresh Rate",N/A,N/A,N/A,Yes,1.37,Yes,Backlit Keyboard,Yes,No,No,Smooth surface muilt-touch Trackpad with Gesture support,Upto 12 hours,N/A,N/A
21,DELL,G15,G15-5511 SE,G15-5511 SE,Obsidian Black,41377.62,Gaming Laptop,Gaming,N/A,Intel,Core i7,11800H,Base Frequency 2.6 GHz Upto Max Turbo Frequency at 4.4 GHz,24,512,0,16,DDR4,32,2,3200,NVIDIA,RTX 3050 Ti,5.7,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 Port, 2 x USB 2.0 Ports",1 x HDMI 2.0,No,15.6,1920x1080,"Full HD, WVA AG, 300 nits, 165Hz, 100% RGB(SE), Narrow Border",Yes,Yes,Intel Wi-Fi 6 2x2 (Gig+),5,2.65,No,English International Backlit Keyboard Orange,Yes,Yes,HD,Touchpad,Upto 10 Hours,Yes,165 Hz
22,DELL,N/A,G15-5515,G15-5515,Grey,27650.07,Gaming Laptop,Gaming,N/A,AMD,Ryzen 5,5600H,3.2 GHz upto max turbo frequency at 4.4 Ghz,16,512,0,8,DDR4,N/A,2,N/A,NVIDIA,RTX 3050,5.4,Windows 11 Home,Yes,"1 x USB 3.2 Gen 1 port, 2 x USB 2.0 ports",1 x HDMI 2.0 port,No,15.6,1920x1080,Full HD IPS Narrow 120Hz 250 nits 45%,Yes,Yes,Killer Wi-Fi 6 AX1650 (2x2),5,2.57,No,English International Backlit Keyboard Orange,Yes,No,HD,Touchpad,Upto 10 Hours,Yes,120 Hz
23,Avita,SATUS,SATUS ULTIMUS S111,NU14A1INC43PN-MB,Matt Black,8749.82,Laptop,Processing & Multitasking,N/A,Intel,Celeron,N4020,N/A,N/A,128,0,4,DDR4,N/A,N/A,N/A,Intel,UHD,2,Windows 11 Home,Yes,"1 x USB 2.0, 1 x USB 3.0",1 x Mini HDMI C Type,No,14.1,1920x1080,"FHD, IPS",Yes,Yes,802.11a/b/g/n,4,N/A,No,N/A,No,No,2 MP,Touchpad,Upto 8 Hours,N/A,N/A
24,ASUS,Vivobook S14 OLED (2022) Intel EVO,S3402ZA-KM501WS,S3402ZA-KM501WS,Neutral Grey,29838.52,Thin and Light Laptop,Processing & Multitasking,90W AC Adapter,Intel,Core i5,12500H,4.5,18,512,0,16,DDR4,N/A,1,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display, power delivery",1x HDMI 2.0b,No,14,2880x1800,"OLED, (Peak brightness 600 Nits, 100% DCI-P3 color gamut)",Built in speaker,Built in array microphone,Wi-Fi 6E(802.11ax),5.2,1.5,Yes,Backlit Chiclet Keyboard,Yes,No,"720p HD camera, with privacy shutter",Touchpad,N/A,N/A,N/A
25,ASUS,Vivobook S14 OLED (2022) Intel EVO,S3402ZA-KM702WS,S3402ZA-KM702WS,Indie Black,37796.52,Thin and Light Laptop,Processing & Multitasking,90 W AC Adapter,Intel,Core i7,12700H,Base Frequency 3.0 GHz Max Turbo Frequency at 4.7 GHz,24,512,0,16,DDR4,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 2.0 Type-A, 1 x USB 3.2 Gen 1 Type-A, 2 x Thunderbolt 4 Supports Display / Power Delivery",1 x HDMI 2.0b,No,14,2880x1800,"OLED, Anti-glare Display, Screen-to-Body Ratio: 85%, 16:9 Aspect Ratio, 90 Hz Refresh Rate, 600nits Peak Brightness, 100% DCI-P3 Color Gamut, Contrast Ratio: 1000000:1",Built-in speaker,Built-in array microphone,Wi-Fi 6E (802.11ax),5.2,1.5,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD Camera with Privacy Shutter,Touchpad,N/A,N/A,N/A
26,ASUS,Zenbook 14 OLED (2022) Intel EVO,UX3402ZA-KM531WS,UX3402ZA-KM531WS,Ponder Blue,35807.02,Thin and Light Laptop,Processing & Multitasking,65W Type-C Adaptor,Intel,Core i5,1240P,Base Frequency 1.7 GHz Max Turbo Frequency Upto 4.4 GHz,12,512,0,16,LPDDR5,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 3.2 Gen 2 Type-A, 2x Thunderbolt 4 Supports Display / Power Delivery",1 x HDMI 2.0b,No,14,2880x1800,"OLED, Aspect Ratio: 16:10, 0.2ms Response Time, 90 Hz Refresh Rate, 400nits Brightness, 600nits Peak Brightness, 100% DCI-P3 Color Gamut, Contrast Ratio: 1000000:1, Color Depth: 1.07 Billion, Glossy Display, 70% Less Harmful Blue Light, SGS Eye Care Display, Screen-to-Body Ratio: 90%",Built-in Speaker,Built-in Microphone,Wi-Fi 6E (802.11 ax),5.2,1.39,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD camera,Touchpad,N/A,N/A,N/A
27,ASUS,Zenbook 14X (2022) Space edition Intel EVO,UX5401ZAS-KN711WS,UX5401ZAS-KN711WS,Titanium,53712.52,Thin and Light Laptop,Processing & Multitasking,100W Type-C Adapter,Intel,Core i7,12700H,Base Frequency 2.3 GHz Max Frequency Upto 4.7 GHz,24,1000,0,16,LPDDR5,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 3.2 Gen 2 Type-A, 2x Thunderbolt 4 Supports Display / Power Delivery",1 x HDMI 2.0b,Yes,14,2880x1800,"OLED, LED Backlit, Aspect Ratio: 16:10, 0.2ms Response Time, 90 Hz Refresh Rate, 550nits Peak Brightness, 100% DCI-P3 Color Gamut, Contrast Ratio: 1000000:1, Color Depth: 1.07 Billion, Glossy Display, 70% Less Harmful Blue Light, SGS Eye Care Display, Screen-to-Body Ratio: 92%",Built-in Speaker,Built-in Array Microphone,Wi-Fi 6E (802.11 ax),5.2,1.4,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD Camera with Privacy Shutter,Touchpad,N/A,N/A,N/A
28,ASUS,Vivobook S14 OLED (2022) Intel EVO,S3402ZA-KM502WS,S3402ZA-KM502WS,Indie Black,29838.52,Thin and Light Laptop,Processing & Multitasking,90W AC Adapter,Intel,Core i5,12500H,4.5,18,512,0,16,DDR4,N/A,1,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display, power delivery",1x HDMI 2.0b,No,14,2880x1800,"OLED, (Peak brightness 600 Nits, 100% DCI-P3 color gamut)",Built in speaker,Built in array microphone,Wi-Fi 6E(802.11ax),5.2,1.5,Yes,Backlit Chiclet Keyboard,Yes,No,"720p HD camera, With privacy shutter",Touchpad,N/A,N/A,N/A
29,ASUS,Zenbook 14 OLED (2022) Intel EVO,UX3402ZA-KM731WS,UX3402ZA-KM731WS,Ponder Blue,41775.52,Thin and Light Laptop,Processing & Multitasking,65W Type-C Adaptor,Intel,Core i7,1260P,Base Frequency 2.1 GHz Max Turbo Frequency Upto 4.7 GHz,18,512,0,16,LPDDR5,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 3.2 Gen 2 Type-A, 2x Thunderbolt 4 Supports Display / Power Delivery",1 x HDMI 2.0b,No,14,2880x1800,"OLED, Aspect Ratio: 16:10, 0.2ms Response Time, 90 Hz Refresh Rate, 400nits Brightness, 600nits Peak Brightness, 100% DCI-P3 Color Gamut, Contrast Ratio: 1000000:1, Color Depth: 1.07 Billion, Glossy Display, 70% Less Harmful Blue Light, SGS Eye Care Display, Screen-to-Body Ratio: 90%",Built-in Speaker,Built-in Microphone,Wi-Fi 6E (802.11 ax),5.2,1.39,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD camera,Touchpad,N/A,N/A,N/A
30,ASUS,Vivobook S14 OLED (2022) Intel EVO,S3402ZA-KM701WS,S3402ZA-KM701WS,Neutral Grey,37796.52,Thin and Light Laptop,Processing & Multitasking,90W AC Adapter,Intel,Core i7,12700H,4.7,24,512,0,16,DDR4,N/A,1,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1x USB 2.0 Type-A, 1x USB 3.2 Gen 1 Type-A, 2x Thunderbolt 4 supports display / power delivery",1x HDMI 2.0b,No,14,2880x1800,"OLED, (Peak brightness 600 Nits, 100% DCI-P3 color gamut)",Built in speaker,Built in array microphone,Wi-Fi 6E(802.11ax),5.2,1.5,Yes,Backlit Chiclet Keyboard,Yes,No,"720p HD camera, with privacy shutter",Touchpad,N/A,N/A,90 Hz
31,ASUS,Zenbook 14X (2022) Space edition Intel EVO,UX5401ZAS-KN521WS,UX5401ZAS-KN521WS,Titanium,45754.52,Thin and Light Laptop,Processing & Multitasking,100W Type-C Adapter,Intel,Core i5,12500H,Base Frequency 2.5 GHz Max Frequency Upto 4.5 GHz,18,512,0,16,LPDDR5,N/A,N/A,N/A,Intel,Iris Xe,3,Windows 11 Home,Yes,"1 x USB 3.2 Gen 2 Type-A, 2x Thunderbolt 4 Supports Display / Power Delivery",1 x HDMI 2.0b,Yes,14,2880x1800,"OLED, LED Backlit, Aspect Ratio: 16:10, 0.2ms Response Time, 90 Hz Refresh Rate, 550nits Peak Brightness, 100% DCI-P3 Color Gamut, Contrast Ratio: 1000000:1, Color Depth: 1.07 Billion, Glossy Display, 70% Less Harmful Blue Light, SGS Eye Care Display, Screen-to-Body Ratio: 92%",Built-in Speaker,Built-in Array Microphone,Wi-Fi 6E (802.11 ax),5.2,1.4,Yes,Backlit Chiclet Keyboard,Yes,No,720p HD Camera with Privacy Shutter,Touchpad,N/A,N/A,N/A
32,DELL,Vostro 3405,Vostro 3405,Vostro 3405,Dune,17105.72,Thin and Light Laptop,Processing & Multitasking,N/A,AMD,Ryzen 5,3450U,2.1 GHz with Turbo Boost Upto 3.5 GHz,6,256,0,8,DDR4,16,2 Slots,2400,AMD,Radeon Graphics Vega 8,3,Windows 11 Home,Yes,"2 x USB 3.2 (1st Gen), 1 x USB 2.0",1 x HDMI Port (v1.4),No,14,1920x1080,Full HD LED Backlit Anti-glare Display,Built-in Speakers,Built-in Microphone,IEEE 802.11ac,4.1,1.59,No,English International Non Backlit Keyboard,No,Yes,HD Webcam,Touchpad,Upto 10 Hours,Yes,N/A
33,ASUS,N/A,TUF Gaming A15,FA506IC-HN005T,Graphite Black,32030.95,Gaming Laptop,Gaming,N/A,AMD,Ryzen 7,N/A,N/A,N/A,512,0,8,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3050 ,5.4,Windows 10 Home,N/A,N/A,N/A,No,15.6,1920x1080,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,No,No,Touchpad,3 Hours,N/A,N/A
34,ASUS,N/A,TUF Gaming A15,FA506QM-HN124W,Graphite Black,42571.32,Gaming Laptop,Gaming,N/A,AMD,Ryzen 9,N/A,N/A,N/A,512,0,16,DDR4,N/A,N/A,N/A,NVIDIA,RTX 3060,6,Windows 11 Home,N/A,N/A,N/A,No,16.6,1920x1080,N/A,N/A,N/A,N/A,Yes,N/A,No,N/A,N/A,No,No,Touchpad,3 Hours,N/A,N/A
